alg,heuristik,boardgroesse,wiederholungen,gesamtlaufzeit(s),gesamtscore,gesamtweg,gewichtungFood,gewichtungSnake,closedListglobal
bfs,m,5x5,500,10.436,6605,25692,0,0,x
bfs,m,5x5,500,10.371,6810,26382,0,1,x
bfs,m,5x5,500,9.892,6601,25403,0,2,x
bfs,m,5x5,500,10.364,6737,25946,0,3,x
bfs,m,5x5,500,9.824,6616,25402,1,0,x
bfs,m,5x5,500,9.881,6631,25587,1,1,x
bfs,m,5x5,500,10.726,6695,25980,1,2,x
bfs,m,5x5,500,9.635,6603,25408,1,3,x
bfs,m,5x5,500,10.556,6638,25694,2,0,x
bfs,m,5x5,500,10.564,6716,26023,2,1,x
bfs,m,5x5,500,9.794,6713,25848,2,2,x
bfs,m,5x5,500,10.266,6698,26061,2,3,x
bfs,m,5x5,500,10.634,6763,26384,3,0,x
bfs,m,5x5,500,10.675,6773,26120,3,1,x
bfs,m,5x5,500,10.551,6827,26462,3,2,x
bfs,m,5x5,500,9.869,6604,25638,3,3,x
bfs,m,5x5,500,9.972,6676,25629,4,0,x
bfs,m,5x5,500,10.800,6718,25953,4,1,x
bfs,m,5x5,500,9.807,6606,25447,4,2,x
bfs,m,5x5,500,10.042,6775,26271,4,3,x
bfs,m,5x5,500,10.699,6711,25942,5,0,x
bfs,m,5x5,500,10.014,6607,25648,5,1,x
bfs,m,5x5,500,10.003,6854,26551,5,2,x
bfs,m,5x5,500,9.851,6578,25257,5,3,x
idaStar,m,5x5,500,3.467,6179,24065,0,0,yes
idaStar,m,5x5,500,3.454,6277,24098,0,1,yes
idaStar,m,5x5,500,3.544,6240,23903,0,2,yes
idaStar,m,5x5,500,3.434,6390,24613,0,3,yes
idaStar,m,5x5,500,3.392,6120,23885,1,0,yes
idaStar,m,5x5,500,3.295,6054,23368,1,1,yes
idaStar,m,5x5,500,3.468,6419,24826,1,2,yes
idaStar,m,5x5,500,3.309,6219,23754,1,3,yes
idaStar,m,5x5,500,3.420,6380,24540,2,0,yes
idaStar,m,5x5,500,3.418,6237,24286,2,1,yes
idaStar,m,5x5,500,3.369,6207,24005,2,2,yes
idaStar,m,5x5,500,3.474,6280,24479,2,3,yes
idaStar,m,5x5,500,3.338,6129,23612,3,0,yes
idaStar,m,5x5,500,3.332,6243,23860,3,1,yes
idaStar,m,5x5,500,3.408,6199,24132,3,2,yes
idaStar,m,5x5,500,3.515,6305,24547,3,3,yes
idaStar,m,5x5,500,3.385,6300,24018,4,0,yes
idaStar,m,5x5,500,3.587,6428,25007,4,1,yes
idaStar,m,5x5,500,3.418,6405,24358,4,2,yes
idaStar,m,5x5,500,3.322,6275,23770,4,3,yes
idaStar,m,5x5,500,3.677,6273,24402,5,0,yes
idaStar,m,5x5,500,3.803,6368,24833,5,1,yes
idaStar,m,5x5,500,3.690,6181,24052,5,2,yes
idaStar,m,5x5,500,3.519,6349,24318,5,3,yes
idaStar,e,5x5,500,3.605,6433,25019,0,0,yes
idaStar,e,5x5,500,3.468,6175,23997,0,1,yes
idaStar,e,5x5,500,3.400,6218,23671,0,2,yes
idaStar,e,5x5,500,3.365,5986,23216,0,3,yes
idaStar,e,5x5,500,3.510,6263,24205,1,0,yes
idaStar,e,5x5,500,3.397,6301,24077,1,1,yes
idaStar,e,5x5,500,3.319,6061,23292,1,2,yes
idaStar,e,5x5,500,3.497,6306,24449,1,3,yes
idaStar,e,5x5,500,3.513,6310,24560,2,0,yes
idaStar,e,5x5,500,3.388,6261,23997,2,1,yes
idaStar,e,5x5,500,3.511,6396,24737,2,2,yes
idaStar,e,5x5,500,3.700,6337,24443,2,3,yes
idaStar,e,5x5,500,3.301,6139,23462,3,0,yes
idaStar,e,5x5,500,3.470,6188,24120,3,1,yes
idaStar,e,5x5,500,3.314,6165,23440,3,2,yes
